Diagram-ID,Image-Path,Category-of-Image,Modified-Alt-Text
1,images/page0033_img000.jpeg,Mechanics (Forces & Motion),"Passengers are seated inside an airplane cabin while one person stands in the aisle reading a document. Below the cabin, a side view of the airplane and a horizontal coordinate axis illustrate motion along the x direction. The airplane moves from an initial position of six point zero meters to a final position of two point zero meters. The change in position is calculated as final position minus initial position, giving negative four point zero meters. The negative value indicates the airplane’s displacement is four meters toward the left, which is the negative x direction."
2,images/page0033_img001.jpeg,Mechanics (Forces & Motion), "A woman stands in front of a classroom chalkboard in two positions to illustrate motion along a horizontal axis. In the first position she is at an initial location of one point five meters. In the second position she has moved to a final location of three point five meters. A horizontal axis labeled x points to the right, indicating the positive direction. The change in position is calculated as final position minus initial position, giving positive two point zero meters. This shows the woman moved two meters to the right, which is the positive x direction."
3,images/page0036_img000.jpeg,Graphs, "Two perpendicular axes intersect at the origin to form a coordinate system. The horizontal axis represents the x direction, with positive x pointing to the right and negative x pointing to the left. The vertical axis represents the y direction, with positive y pointing upward and negative y pointing downward. The arrows on each axis indicate the positive directions for x and y used to describe position and motion in two dimensions."
4,images/page0039_img000.jpeg,Mechanics (Forces & Motion),"An airplane is shown above a horizontal coordinate axis that represents motion along the x direction. Several horizontal arrows illustrate individual changes in position during different time intervals. These arrows represent separate displacements labeled change in x one, change in x two, change in x three, and change in x four. Some arrows point to the right, indicating motion in the positive x direction, while others point to the left, indicating motion in the negative x direction. A longer arrow labeled total change in x shows the overall displacement resulting from adding all the individual displacements together. The diagram demonstrates how multiple changes in position combine to produce a total displacement along a single axis."
5,images/page0040_img000.jpeg,Graphs, "Three graphs compare position, velocity, and speed as functions of time for the same motion. The first graph shows position in kilometers versus time in hours. The position starts at zero kilometers at zero hours, increases linearly to three kilometers at zero point three hours, and then decreases linearly back to zero kilometers at zero point five hours. This indicates the object moves away from the starting point and then returns. The second graph shows velocity in kilometers per hour versus time. From zero to about zero point three hours the velocity is positive twelve kilometers per hour, indicating motion in the positive direction. At zero point three hours the velocity changes to negative twelve kilometers per hour and remains constant until zero point five hours, indicating motion in the opposite direction. The third graph shows speed in kilometers per hour versus time. The speed remains constant at twelve kilometers per hour for the entire time interval, showing that the object moves at the same speed even though the direction of motion changes."
6,images/page0040_img001.jpeg,Mechanics (Forces & Motion),"A house labeled home is shown on the left and a building labeled store is shown on the right. A straight path between them is labeled three kilometers. One arrow points from the home to the store, representing traveling three kilometers to the store. A second arrow points back from the store to the home, representing the return trip along the same path. The total change in position is labeled zero because the starting point and ending point are both at the home, illustrating that displacement is zero even though distance was traveled."
8,images/page0045_img000.jpeg,Mechanics (Forces & Motion),"A house labeled home is shown on the left and a building labeled store is shown on the right. A straight path between them is labeled three kilometers. One arrow points from the home to the store, representing traveling three kilometers to the store. A second arrow points back from the store to the home, representing the return trip along the same path. The total change in position is labeled zero because the starting point and ending point are both at the home, illustrating that displacement is zero even though distance was traveled."
9,images/page0045_img001.jpeg,Mechanics (Forces & Motion),"Two graphs compare acceleration as a function of time.The first graph shows acceleration in meters per second squared versus time in seconds as a smooth curve that rises and falls slightly between about one and two meters per second squared over a time interval from zero to five seconds. A horizontal line labeled average acceleration indicates the mean value of the changing acceleration over the interval. The second graph shows acceleration in meters per second squared versus time in seconds using a step pattern. The acceleration begins at about three meters per second squared, then changes to negative two meters per second squared around one second. Later it returns to zero, increases to about one and a half meters per second squared, then rises to about five meters per second squared before dropping to a negative value near negative four meters per second squared around six seconds. The graph illustrates how acceleration can change abruptly at different times instead of varying smoothly."
10,images/page0048_img001.jpeg,Graphs,"Three stacked graphs show position, velocity, and acceleration plotted against time. The first graph shows position in meters versus time in seconds. The plotted points form a curve that starts near zero meters at zero seconds, increases gradually, then rises more steeply until about thirty seconds, and begins to level off near about two hundred seventy meters around forty five to fifty seconds. The second graph shows velocity in meters per second versus time in seconds. The line increases from zero meters per second at zero seconds to about eight meters per second at around twenty seconds. It stays roughly constant near eight meters per second until about forty seconds, then decreases sharply to zero around forty five seconds. The third graph shows acceleration in meters per second squared versus time in seconds. The acceleration begins around zero point four meters per second squared for the first twenty seconds, drops to approximately zero for the next interval, and later becomes negative before returning toward zero near the end of the time range."
11,images/page0052_img000.jpeg,Mechanics (Forces & Motion),"A horizontal line represents motion along the x direction. The left end of the line is labeled initial position x zero, and the right end is labeled x equals question mark, indicating an unknown final position. Above the line, a green arrow pointing to the right is labeled average velocity equals four point zero zero meters per second. On the right side of the image, a coordinate system shows the x axis pointing to the right and the y axis pointing upward."
12,images/page0053_img001.jpeg,Graphs,"A graph titled displacement versus velocity for a given time shows displacement in meters on the vertical axis and average velocity in meters per second on the horizontal axis. Several plotted points form a straight line that rises from the lower left toward the upper right. The points are connected by a line, showing a linear relationship between average velocity and displacement."
14,images/page0057_img000.jpeg,Mechanics (Forces & Motion),"A horizontal line represents motion along the x direction with the displacement labeled change in x equals question mark. On the left side, the initial velocity is labeled v zero equals thirty point zero meters per second with a green arrow pointing to the right indicating the direction of motion. On the right side, the final velocity is labeled v f equals zero meters per second and is marked by a green point. Below the line, two acceleration values are listed: acceleration for dry conditions equals negative seven point zero zero meters per second squared, and acceleration for wet conditions equals negative five point zero zero meters per second squared."
15,images/page0058_img000.jpeg,Mechanics (Forces & Motion),"A horizontal position axis labeled position x in meters shows the stopping distance of a car. In the top illustration, a car braking on dry pavement stops after about sixty four point three meters, while a car braking on wet pavement stops after about ninety meters. In the lower illustration, a shaded region labeled reaction time shows the distance the car travels before braking begins. After this reaction distance, the braking distance is shown. The total stopping distance is about seventy nine point three meters on dry pavement and about one hundred five meters on wet pavement. Multiple car icons mark the positions where the car stops under the different conditions."
16,images/page0062_img000.jpeg,Graphs,"Three stacked graphs show vertical motion over time. The first graph shows vertical position in meters versus time in seconds. The plotted points rise from zero meters at zero seconds to a maximum of about eight to nine meters near one point five seconds, then decrease steadily and pass below zero to about negative five meters by around three seconds. The second graph shows velocity in meters per second versus time in seconds. The line decreases steadily from about positive twelve meters per second at zero seconds, crosses zero near about one point two seconds, and continues downward to about negative fifteen meters per second around three seconds. The third graph shows acceleration in meters per second squared versus time in seconds. The acceleration is shown as a constant horizontal line at about negative ten meters per second squared throughout the time interval."
17,images/page0064_img000.jpeg,Mechanics (Forces & Motion),"Two side by side diagrams show the vertical motion of an object thrown from the edge of a cliff. In the left diagram, a person stands on a cliff and throws an object straight upward from an initial position labeled y zero equals zero with an initial velocity of thirteen meters per second upward. The object rises to a maximum height labeled y one equals eight point one zero meters, then falls past a point labeled y two equals six point four zero meters while moving downward. The object continues falling below the cliff edge to a position labeled y three equals negative five point one zero meters with a downward velocity of about negative sixteen point four meters per second. Arrows indicate the upward and downward directions along the vertical axis. In the right diagram, the same motion is shown for an object thrown straight downward from the cliff. The initial position is labeled y zero equals zero with an initial velocity of negative thirteen meters per second downward. The object reaches a position labeled y equals negative five point one zero meters with a velocity of about negative sixteen point four meters per second. Arrows indicate motion downward along the vertical direction."
18,images/page0065_img001.jpeg,Graphs,"An illustration and several graphs show the motion of a falling sphere. On the left, a hand releases a small sphere that falls downward in a series of positions. Next to the illustration is a table with three columns labeled vertical position y in meters, velocity v in meters per second, and time t in seconds. The table lists values showing position becoming more negative and velocity becoming increasingly negative as time increases from zero to about zero point five seconds. Below the table, three graphs display the motion. The first graph shows position versus time, where the position decreases in a curved line as time increases. The second graph shows velocity versus time, where the velocity decreases linearly from zero to about negative five meters per second. The third graph shows acceleration versus time, where acceleration remains constant at approximately negative ten meters per second squared over the time interval"
19,images/page0067_img000.jpeg,Mechanics (Forces & Motion),"A multi part physics diagram illustrates projectile motion and the components of velocity. In the top section, a ball follows a curved path through the air. At several points along the path, arrows show the velocity vector and its components. The horizontal component of velocity labeled v x is shown pointing to the right at each position. The vertical component labeled v y points upward while the ball rises, becomes zero at the highest point, and points downward as the ball falls. The combined velocity vector is shown at different angles along the trajectory. A second section shows several equally spaced positions of the ball along a horizontal line, each with a right pointing arrow labeled v x, indicating constant horizontal velocity. Another section shows vertical motion with several stacked positions of the ball. Arrows labeled v y point upward near the beginning and downward as the ball moves downward.The final small diagram shows the velocity vector separated into horizontal component v x and vertical component v y relative to x and y coordinate axes."
20,images/page0068_img000.jpeg,Mechanics (Forces & Motion),"Earth is shown with a cannon positioned on top of a tall mountain firing projectiles horizontally with different initial velocities labeled v zero. Several curved paths extend around the planet, where some trajectories curve downward and intersect the surface while others travel farther before falling. One path continues around Earth to form a circular orbit, and arrows along each path indicate the direction of motion around the planet."
21,images/page0068_img001.jpeg,Mechanics (Forces & Motion),"Two diagrams compare projectile trajectories for different launch speeds and launch angles. In the top diagram, three projectiles are launched from the same point at an angle of forty five degrees. The initial speeds are labeled thirty meters per second, forty meters per second, and fifty meters per second. Each projectile follows a curved path through the air, with greater speeds producing longer horizontal ranges. The ranges shown are about ninety one point eight meters, one hundred sixty three meters, and two hundred fifty five meters. A small coordinate system indicates the x direction horizontally and the y direction vertically.In the bottom diagram, projectiles are launched with the same initial speed of fifty meters per second but at different angles labeled fifteen degrees, forty five degrees, and seventy five degrees. Each path forms a different curved trajectory. The ranges shown include about one hundred twenty eight meters and two hundred fifty five meters along the horizontal direction."
22,images/page0070_img000.jpeg,Mechanics (Forces & Motion),"Motion along a circular path is shown with two nearby points labeled B and C on the circle and a center point labeled A. Lines from the center to B and C represent the radius labeled r, and the angle between them is labeled change in theta. The curved arc between B and C is labeled change in s, and the straight line between them is labeled change in r. At point B, a green arrow labeled v one shows the velocity tangent to the circle. At point C, another green arrow labeled v two shows the velocity at that point along the path.Above the circle, a small vector triangle shows the relationship change in v equals v two minus v one. The vectors labeled v one and v two are arranged tip to tail, and the resulting arrow represents the change in velocity."
25,images/page0078_img000.jpeg,Mechanics (Forces & Motion),"A spring is attached between a fixed support and a movable block, with the spring’s length labeled x. When the block is pulled to the right by a hand, the spring stretches by an additional distance labeled change in x. A red arrow labeled restoring force points to the left, indicating the direction of the force exerted by the spring opposing the pull. Below, a spring scale with numbered markings shows the spring stretched by a distance labeled change in x while a horizontal arrow labeled restoring force points toward the left, representing the force measured by the scale."
26,images/page0081_img000.jpeg,Mechanics (Forces & Motion),"A child sits in a small wagon while two people push it forward along a flat surface. Arrows show the forces acting on the wagon: two applied forces pointing to the right labeled F one and F two, friction pointing to the left labeled f, the normal force pointing upward labeled N, and the weight pointing downward labeled w. Another panel shows the forces combined into a single net force pointing to the right. To the right, a free body diagram represents the wagon as a single point with arrows showing the same forces: normal force upward, weight downward, friction to the left, and applied forces to the right. In a second scenario below, one adult pushes the wagon with a single force labeled F adult pointing to the right. A corresponding free body diagram again shows the normal force upward, weight downward, friction to the left, and the applied force to the right."
27,images/page0082_img000.jpeg,Mechanics (Forces & Motion),"A person pushes two different objects to the right with a force labeled F. In the first case, the person pushes a basketball with mass labeled m one, and an arrow labeled acceleration a one points to the right. In the second case, the person pushes a car with mass labeled m two, with a force arrow pointing to the right and an acceleration arrow labeled a two. Below these scenes, simplified free body diagrams show a single point with an arrow labeled F pointing to the right for each object. Text indicates that the free body diagrams for both objects are the same, representing the applied force acting on each object."
28,images/page0084_img000.jpeg,Mechanics (Forces & Motion),"A person pushes a lawn mower across grass while walking behind it. A red arrow labeled net force points horizontally to the right, indicating the direction of the overall force acting on the mower as it moves forward."
29,images/page0085_img000.jpeg,Mechanics (Forces & Motion),"A rocket powered vehicle moves to the right along a flat surface with an arrow labeled acceleration pointing to the right. Several arrows labeled thrust point forward from the rear of the vehicle, while an arrow labeled friction points backward. Vertical arrows show the normal force upward and the weight downward acting on the vehicle. Below the vehicle, a free body diagram represents the object as a point with arrows showing the same forces: normal force upward, weight downward, friction to the left, and multiple thrust forces to the right."
30,images/page0088_img000.jpeg,Mechanics (Forces & Motion),"A swimmer pushes against a pool wall underwater while preparing to move away from the wall. An arrow labeled direction of acceleration points away from the wall. The swimmer’s feet press against the wall, and an arrow labeled force of wall on feet points away from the wall. On the right side, a free body diagram represents the swimmer as a point. Arrows show the buoyant force upward, weight downward, and the force of the wall on the swimmer pointing away from the wall."
31,images/page0089_img000.jpeg,Mechanics (Forces & Motion),"A person pushes a loaded cart forward across a floor. Arrows indicate several forces acting on the system. A force from the person on the cart points forward, friction on the wheels points backward, and forces between the person’s feet and the floor act in opposite directions. The diagram labels two systems of interest: one including the person and cart together, and another focusing on the cart and objects on it. On the right side, two free body diagrams represent these systems as points with arrows showing the forces acting on each system. The arrows indicate the normal force upward, weight downward, friction to the left, and applied forces to the right from either the floor or the person pushing the cart."
32,images/page0092_img000.jpeg,Mechanics (Forces & Motion),"A hand presses down on a soft object placed on a table. In the first case, an upward arrow labeled force from the hand acts on the object, while a downward arrow labeled weight acts toward the table. In the second case, the object rests on the table without the hand pressing it. An upward arrow labeled normal force acts from the table on the object, and a downward arrow labeled weight acts toward the table. Below, simplified free body diagrams represent the forces acting on the object in each situation, showing upward forces from the hand or table and a downward weight force."
33,images/page0093_img000.jpeg,Mechanics (Forces & Motion),"A hand holds a vertical rope attached to a block with mass labeled m. The rope pulls upward on the block with a force labeled tension, shown by an upward arrow labeled T. A downward arrow labeled weight shows the gravitational force acting on the block. To the right, a free body diagram represents the block as a point with two forces: an upward arrow labeled tension and a downward arrow labeled weight."
34,images/page0094_img001.jpeg,Mechanics (Forces & Motion), "The top figure shows the internal structure of a human finger with the bones, extensor muscle, flexor muscle, and tendons labeled. The tendons run along the finger and attach the muscles to the bones. Red arrows labeled tension point along the tendons, indicating the direction of the pulling forces transmitted through the tendons when the muscles contract. The bottom figure shows a bicycle frame and handlebar system. Several arrows labeled tension appear along different parts of the frame and cable system, including near the handlebars and along the frame tubes. These arrows indicate forces acting along the cables and structural members of the bicycle, illustrating how tension forces can be transmitted through connected components."
35,images/page0095_img000.jpeg,Mechanics (Forces & Motion),"A person stands on a scale inside an elevator that is suspended by a cable. In the first panel, several forces acting on the elevator system are shown with arrows. A tension force in the cable points upward. The normal force from the scale on the person points upward, while the person’s weight points downward. Additional downward arrows represent the weights of the scale and the elevator. In the second panel, the person is identified as the system of interest. The forces acting on the person are shown: an upward force from the scale and a downward weight force. On the right, a simplified free body diagram represents the person as a point with two vertical forces: an upward force from the scale and a downward weight force. A small coordinate axis indicates the vertical direction labeled y and horizontal direction labeled x."
36,images/page0098_img001.jpeg,Mechanics (Forces & Motion),"Two hands hold a flexible object stretched vertically between them. The upper hand moves the object sideways from its central position. The shape of the object curves as it is displaced, and motion lines show it moving back and forth. A label marks the equilibrium position at the center, with arrows pointing left and right to indicate displacement on either side of that position."
37,images/page0099_img001.jpeg,Graphs,"Graph showing the relationship between force and displacement for a spring. The vertical axis is labeled Force, F in newtons, and the horizontal axis is labeled Displacement, x in meters. A straight line passes through several plotted points, increasing from the origin upward to the right, showing that force increases linearly with displacement. The slope of the line is labeled k equals slope equals rise over run. Dashed horizontal and vertical lines illustrate the rise and run used to calculate the slope. A table beside the graph lists measured values of mass in kilograms, weight in newtons, and displacement in meters. As mass increases from 0.000 to 0.500 kilograms, weight increases from 0.00 to 4.90 newtons and displacement increases from 0.000 to 0.127 meters. Below, springs hang vertically from a fixed support. One spring has no mass attached and is labeled x equals zero. Another spring holds a block labeled m1 with downward weight arrow w1 and displacement labeled x1. A third spring holds a larger block labeled m2 with downward weight arrow w2 and greater displacement labeled x2, showing that larger weight produces a larger stretch in the spring."
38,images/page0104_img000.jpeg,Mechanics (Forces & Motion),"Two horizontal surfaces are shown in contact to illustrate how normal force affects microscopic contact between rough surfaces. In the upper example, labeled small normal force, a block rests lightly on another surface. The surfaces appear uneven at a microscopic scale, with small bumps and valleys. A downward arrow labeled N represents the normal force exerted by the top block on the lower surface, while an upward arrow labeled N represents the equal normal force from the lower surface pushing up on the block. Because the normal force is small, the surfaces touch only at a few of the highest bumps, leaving gaps between most of the irregularities. In the lower example, labeled large normal force, the top block presses down more strongly on the lower surface. The downward arrow labeled N is larger, indicating a greater normal force, and the upward arrow labeled N shows the larger supporting force from the lower surface. The stronger compression pushes the two rough surfaces closer together, causing more of the microscopic bumps to press against each other. This increases the real area of contact between the surfaces, illustrating how a larger normal force causes greater interlocking of surface irregularities."
40,images/page0105_img000.jpeg,Other,"A microscopic model of friction showing atomic layers of two surfaces interacting as one surface slides across another. The lower surface is represented by a tightly packed lattice of atoms arranged in repeating rows. Above it is a slanted probe composed of several layers of atoms stacked in rows. An arrow at the top labeled motion of probe indicates the probe sliding horizontally across the surface. At the contact region between the two materials, atoms from the probe and the surface interact. A label reading atomic and molecular interactions points to this region where the atoms from both surfaces come close together. These interactions create resistance to motion. A horizontal arrow labeled friction, f, points opposite the direction of sliding along the interface between the probe and the surface, indicating that friction acts to oppose the motion of the probe."
41,images/page0107_img000.jpeg,Mechanics (Forces & Motion),"Two circular masses connected by a straight rod illustrate forces acting between two objects. On the left is a smaller circle labeled m with its center of mass marked CM. On the right is a larger circle labeled M with its center of mass also marked CM. A straight rod connects the two centers, and the distance between them is labeled r. Arrows labeled F are drawn along the rod pointing in opposite directions. The arrow near the smaller mass points toward the larger mass, indicating the force acting on the smaller object. The arrow near the larger mass points toward the smaller mass, indicating the force acting on the larger object. A dashed line along the rod shows the line connecting the two centers of mass."
42,images/page0109_img000.jpeg,Other,"A bright star on the left is shown being pulled toward a black hole on the right. The star is drawn as a large glowing orange sphere. Streams of material extend from the star toward the black hole, forming a long curved trail. The material spirals around the black hole in a circular disk before moving inward. The black hole is labeled “Black hole.” The background shows a purple space scene with many small white stars."
43,images/page0109_img001.jpeg,Other,"Three panels show the positions of Earth, the Moon, and the Sun during different tidal conditions. In the top panel labeled (a), Earth is shown with an elongated blue water bulge around it labeled spring tide. The Moon is positioned above Earth, and the Sun is shown to the right. The water bulge around Earth is stretched along a vertical direction. In the middle panel labeled (b), Earth again shows an elongated water bulge labeled spring tide. The Moon is positioned below Earth while the Sun remains to the right. In the bottom panel labeled (c), Earth shows a more circular water shape labeled neap tide. The Moon is positioned to the left of Earth, forming a right angle relative to the Sun, which remains on the right side of the diagram."
44,images/page0109_img002.jpeg,Other,"Earth is shown in the center surrounded by a blue ring representing ocean water. The water bulges outward on the left and right sides of Earth, and both of these regions are labeled high tide. The regions at the top and bottom of Earth are labeled low tide. A curved arrow inside Earth indicates the rotation of the planet. To the right of Earth is the Moon, shown as a gray circular body with crater markings. A green arrow points upward next to the Moon. The figure also includes the note “not to scale.”"
45,images/page0112_img000.jpeg,Mechanics (Forces & Motion),"Two panels show an object moving along a curved circular path. In each panel, the path is drawn as part of a circle with a point on the curve representing the object. A green arrow labeled v shows the velocity of the object tangent to the path. A red arrow labeled r points from the center of the circle toward the object, representing the radius. A red arrow labeled f points toward the center of the circular path, indicating the inward force acting on the object. The top panel labels the force as large f with a larger radius r. Text between the panels states that f equals Fc and is parallel to ac since Fc equals m ac. The lower panel shows the object moving with the same velocity v but with a smaller radius r. The inward force arrow is labeled large Fc, and the text notes small r and same v."
47,images/page0114_img000.jpeg,Mechanics (Forces & Motion),"A car is shown driving on a banked road surface tilted at an angle labeled theta. The car is angled relative to the horizontal road, and arrows represent the forces acting on it. A downward arrow labeled w represents the weight of the car acting vertically downward. A diagonal arrow labeled N represents the normal force exerted by the road on the car. The normal force is resolved into two components. The vertical component is labeled N cos theta equals w. The horizontal component is labeled N sin theta equals Fc equals Fnet, pointing toward the center of the curve. The diagram shows the angle theta between the banked surface and the horizontal road."
48,images/page0115_img000.jpeg,Mechanics (Forces & Motion), "Three panels compare forces acting on two different objects. In the left panel labeled (a), a person pushes a rectangular box with both hands. The box is labeled mass m1. An arrow labeled F points forward from the box, and an arrow labeled a1 points in the same direction indicating acceleration. In the right panel labeled (b), the same person pushes the back of a car labeled mass m2. An arrow labeled F points forward from the car, and an arrow labeled a2 indicates acceleration in the same direction. Below these panels, text states that the free body diagrams for both objects are the same. Two simple free body diagrams are shown, each consisting of a single horizontal arrow labeled F pointing to the right from a dot representing the object."
49,images/page0117_img000.jpeg,Mechanics (Forces & Motion),"A roller coaster track forms a vertical loop supported by a wooden framework. The track begins on a horizontal section, curves upward, and forms a complete circular loop before returning to the horizontal track. A small roller coaster car with several riders is shown moving upward along the right side of the loop. An arrow next to the car points upward along the track indicating the direction of motion. The track is colored green and the support structure underneath is a grid-like wooden frame."
